lat,lon,year_of_crime
34.0448,-118.2474,2015
34.0462,-118.2628,2015
34.0394,-118.2405,2015
34.0591,-118.2412,2013
34.0491,-118.2558,2015
34.0428,-118.2461,2015
34.0415,-118.2374,2015
34.0491,-118.2558,2015
34.0449,-118.2458,2015
34.0389,-118.255,2015
34.043,-118.242,2015
34.0461,-118.2476,2015
34.0446,-118.245,2015
34.0423,-118.2561,2015
34.0312,-118.2615,2015
34.0488,-118.2553,2015
34.0724,-118.2486,2015
34.0714,-118.2329,2015
34.0386,-118.2544,2015
34.0442,-118.2439,2015
34.0446,-118.245,2015
34.0488,-118.2483,2015
34.0495,-118.2458,2015
34.0357,-118.2593,2015
34.0448,-118.2474,2015
34.0349,-118.2669,2015
34.0437,-118.2455,2015
34.0503,-118.2504,2015
34.0428,-118.2461,2015
34.0563,-118.2374,2015
34.0461,-118.2461,2015
34.0473,-118.2566,2015
34.0565,-118.2411,2015
34.0388,-118.2717,2015
34.0388,-118.2717,2015
34.0407,-118.2468,2015
34.0417,-118.2443,2015
34.0515,-118.2424,2015
34.0437,-118.2455,2015
34.0407,-118.2468,2015
34.0467,-118.2556,2015
34.0382,-118.2384,2015
34.0467,-118.252,2015
34.0439,-118.2479,2015
34.0433,-118.2504,2015
34.0495,-118.2494,2015
34.0467,-118.2485,2015
34.0438,-118.2547,2015
34.0453,-118.2443,2015
34.0633,-118.229,2015
34.0438,-118.2547,2015
34.0442,-118.2439,2015
34.0449,-118.2458,2015
34.0538,-118.2488,2015
34.0461,-118.2476,2015
34.0488,-118.2518,2015
34.0478,-118.2454,2015
34.0372,-118.2418,2015
34.0407,-118.2468,2015
34.0446,-118.245,2015
34.0615,-118.2412,2015
34.0467,-118.252,2015
34.0417,-118.2443,2015
34.0649,-118.2289,2015
34.0519,-118.2531,2015
34.0563,-118.2374,2015
34.046,-118.2509,2015
34.0401,-118.2668,2015
34.0452,-118.2534,2015
34.0452,-118.2534,2015
34.0449,-118.2458,2015
34.0449,-118.2458,2015
34.0471,-118.2474,2015
34.043,-118.242,2015
34.043,-118.242,2015
34.0404,-118.2504,2015
34.0442,-118.2439,2015
34.0458,-118.243,2015
34.0335,-118.2619,2015
34.0453,-118.2499,2015
34.043,-118.242,2015
34.0439,-118.2514,2015
34.0421,-118.2469,2015
34.049,-118.2381,2015
34.0452,-118.2534,2015
34.0461,-118.2476,2015
34.0449,-118.2458,2015
34.0483,-118.2631,2015
34.0474,-118.2496,2015
34.0488,-118.2553,2015
34.0417,-118.2443,2015
